directory,subdirectory,filename,speaker_id,session_id,utterance_id,transcription,recording_corrupt,comment_transcriptionist,length_sec,recording_id,recording_startpos_sec
sm1,sm1_01,sm1_01_001,sm1,1,1,~p ~s ~a eight one zero turn right to trasadingen ,0,,3.29975000,011_0001,133.50440625
sm1,sm1_01,sm1_01_002,sm1,1,2,lufthansa five three one eight contact zurich one three four decimal six ,0,,4.66309375,011_0002,180.68759375
sm1,sm1_01,sm1_01_003,sm1,1,3,~p ~s ~a eight one zero contact zurich one three three decimal four ,0,,4.22975000,011_0003,370.245
sm1,sm1_01,sm1_01_004,sm1,1,4,sabena four eight one rhein identified ,0,,2.64196875,011_0004,490.91165625
sm1,sm1_01,sm1_01_005,sm1,1,5,transwede one zero one rhein identified set course trasadingen ,0,,3.91150000,011_0005,511.825625
sm1,sm1_01,sm1_01_006,sm1,1,6,india oscar kilo contact rhein one two seven three seven ,0,,3.68365625,011_0006,535.85984375
sm1,sm1_01,sm1_01_007,sm1,1,7,transavia three eight one zurich radar one three four decimal six ,0,,4.30187500,011_0007,545.58028125
sm1,sm1_01,sm1_01_008,sm1,1,8,speedbird one five six rhein identified ,0,,2.54171875,011_0008,559.02553125
sm1,sm1_01,sm1_01_009,sm1,1,9,swissair nine three five two rhein identified ,0,,3.22659375,011_0009,637.67859375
sm1,sm1_01,sm1_01_010,sm1,1,10,sabena four eight one turn left to dinkelsbuhl ,0,,2.73353125,011_0010,653.67609375
sm1,sm1_01,sm1_01_011,sm1,1,11,swissair nine three five two climb flight level three five zero set course to gotil ,0,,5.77753125,011_0011,673.46575
sm1,sm1_01,sm1_01_012,sm1,1,12,lufthansa eight two six eight rhein identified set course trasadingen climb flight level two seven zero ,0,,7.21046875,011_0012,722.68890625
sm1,sm1_01,sm1_01_013,sm1,1,13,sabena eight three eight rhein identified direct to gotil ,0,,3.78468750,011_0013,808.793125
sm1,sm1_01,sm1_01_014,sm1,1,14,speedbird one five six contact rhein one two seven three seven ,0,,4.34915625,011_0014,816.6729375
sm1,sm1_01,sm1_01_015,sm1,1,15,foxtrot sierra india rhein identified climb flight level two six zero ,0,,4.86337500,011_0015,849.07321875
sm1,sm1_01,sm1_01_016,sm1,1,16,transwede one zero one proceed direct to hochwald thereafter st prex ,0,,5.39071875,011_0016,868.8950625
sm1,sm1_01,sm1_01_017,sm1,1,17,foxtrot sierra india report heading ,0,,2.54700000,011_0017,894.882
sm1,sm1_01,sm1_01_018,sm1,1,18,roger turn left heading one eight five ,0,,2.37762500,011_0018,902.0395
sm1,sm1_01,sm1_01_019,sm1,1,19,india tango alfa sierra alfa rhein identified ,0,,4.06981250,011_0019,924.5841875
sm1,sm1_01,sm1_01_020,sm1,1,20,sabena four eight one contact rhein one three two decimal four ,0,,4.21071875,011_0020,936.4013125
sm1,sm1_01,sm1_01_021,sm1,1,21,india sierra alfa turn one five degrees to the left ,0,,4.09968750,011_0021,973.59428125
sm1,sm1_01,sm1_01_022,sm1,1,22,hapag lloyd six five three rhein identified climb flight level two seven zero ,0,,9.10200000,011_0022,986.0788125
sm1,sm1_01,sm1_01_023,sm1,1,23,swissair nine three five two rhein one two seven decimal three seven ,0,,4.14393750,011_0023,995.76028125
sm1,sm1_01,sm1_01_024,sm1,1,24,lufthansa eight two six eight climb flight level two nine zero ,0,,4.90271875,011_0024,1042.52440625
sm1,sm1_01,sm1_01_025,sm1,1,25,foxtrot sierra india climb flight level two seven zero ,0,,3.48062500,011_0025,1052.861625
sm1,sm1_01,sm1_01_026,sm1,1,26,hapag lloyd six five three climb flight level two nine zero set course trasadingen ,0,,4.79721875,011_0026,1068.1188125
sm1,sm1_01,sm1_01_027,sm1,1,27,malaysian two rhein identified ,0,,1.99615625,011_0027,1091.853375
sm1,sm1_01,sm1_01_028,sm1,1,28,foxtrot sierra india turn left heading one seven five climb flight level three seven zero ,0,,6.03465625,011_0028,1096.20225
sm1,sm1_01,sm1_01_029,sm1,1,29,india sierra alfa turn right to frankfurt ,0,,3.35687500,011_0029,1118.28696875
sm1,sm1_01,sm1_01_030,sm1,1,30,sabena eight three eight contact rhein one two seven three seven ,0,,4.06221875,011_0030,1125.8299375
sm1,sm1_01,sm1_01_031,sm1,1,31,swissair six five two zero rhein do you read ,0,,3.34793750,011_0031,1188.23334375
sm1,sm1_01,sm1_01_032,sm1,1,32,lufthansa eight two six eight contact zurich one three four decimal six ,0,,4.41728125,011_0032,1205.705375
